FormNumber,Question
718,Please list any additional comments you have regarding this course that have not been addressed above.
718,Please list suggestions for other ways to help facilitate student learning in this course.
718,Please list the aspects of this course that you believe helped to facilitate your learning.
718,The course director(s) and TJFFCOM staff respect diversity.
718,The course director(s) and TJFFCOM staff show respectful interactions with students.
718,The course director(s) provide direction and constructive feedback.
718,The course instructors emphasized the relevance of the course content as a foundation for future learning.
718,The course materials and assignments facilitated my learning.
718,The overall quality of this course is
718,The teaching enabled me to apply the course content to clinical scenarios.
718,"The teaching included the integration of basic and clinical sciences, using clinically relevant examples."
718,The workload balance (in-class and out-of-class) for this course was appropriate for the breadth and depth of the material covered.
718,There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by the course director(s) and TJFFCOM staff.
718,What I learned was fairly assessed.
718,What I learned was reflective of the course objectives and materials taught.
719,Active learning sessions facilitated my learning.
719,Are you aware that the University of Houston College of Medicine has policies regarding the mistreatment of medical students?
719,Course director(s) was/were accessible to address student concerns during the course.
719,Course objectives were provided and clearly stated.
719,Course support staff (Office of Medical Education and course coordinators) were accessible to address student concerns during the course.
719,Do you know the procedures at the University of Houston College of Medicine for reporting the mistreatment of medical students?
719,"Expectations for student performance in the course were clearly defined (e.g., grading components, student behaviors, attendance)."
719,Opportunities for quality and timely formative feedback were provided.
719,Please list any additional comments you have regarding this course that have not been addressed above.
719,Please list any comments you have for this instructor.
719,Please list suggestions for other ways to help facilitate student learning in this course.
719,Please list the aspects of this course that you believe helped to facilitate your learning.
719,The course director(s) and TJFFCOM staff respect diversity.
719,The course director(s) and TJFFCOM staff show respectful interactions with students.
719,The course director(s) provide direction and constructive feedback.
719,The course instructors emphasized the relevance of the course content as a foundation for future learning.
719,The course materials and assignments facilitated my learning.
719,The overall quality of this course is
719,The overall teaching effectiveness of this instructor is
719,The teaching enabled me to apply the course content to clinical scenarios.
719,"The teaching included the integration of basic and clinical sciences, using clinically relevant examples."
719,The workload balance (in-class and out-of-class) for this course was appropriate for the breadth and depth of the material covered.
719,There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by the course director(s) and TJFFCOM staff.
719,This instructor’s availability for individual assistance is
719,This instructor’s demonstration of respect for students is
719,What I learned was fairly assessed.
719,What I learned was reflective of the course objectives and materials taught.
720,Active learning sessions facilitated my learning.
720,Are you aware that the University of Houston College of Medicine has policies regarding the mistreatment of medical students?
720,Course director(s) was/were accessible to address student concerns during the course.
720,Course objectives were provided and clearly stated.
720,Course support staff (Office of Medical Education and course coordinators) were accessible to address student concerns during the course.
720,Do you know the procedures at the University of Houston College of Medicine for reporting the mistreatment of medical students?
720,"Expectations for student performance in the course were clearly defined (e.g., grading components, student behaviors, attendance)."
720,Opportunities for quality and timely formative feedback were provided.
720,Please list any additional comments you have regarding this course that have not been addressed above.
720,Please list any comments you have for this instructor.
720,Please list suggestions for other ways to help facilitate student learning in this course.
720,Please list the aspects of this course that you believe helped to facilitate your learning.
720,The course director(s) and TJFFCOM staff respect diversity.
720,The course director(s) and TJFFCOM staff show respectful interactions with students.
720,The course director(s) provide direction and constructive feedback.
720,The course instructors emphasized the relevance of the course content as a foundation for future learning.
720,The course materials and assignments facilitated my learning.
720,The overall quality of this course is
720,The overall teaching effectiveness of this instructor is
720,The teaching enabled me to apply the course content to clinical scenarios.
720,"The teaching included the integration of basic and clinical sciences, using clinically relevant examples."
720,The workload balance (in-class and out-of-class) for this course was appropriate for the breadth and depth of the material covered.
720,There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by the course director(s) and TJFFCOM staff.
720,This instructor’s availability for individual assistance is
720,This instructor’s demonstration of respect for students is
720,What I learned was fairly assessed.
720,What I learned was reflective of the course objectives and materials taught.
721,Active learning sessions facilitated my learning.
721,Any other comments about this faculty member that have not been addressed elsewhere.
721,Course director(s) was/were accessible to address student concerns during the course.
721,Course objectives were provided and clearly stated.
721,Course support staff (Office of Medical Education and course coordinators) were accessible to address student concerns during the course.
721,"Expectations for student performance in the course were clearly defined (e.g., grading components, student behaviors, attendance)."
721,I observed this faculty member mistreating others.
721,Opportunities for quality and timely formative feedback were provided.
721,Please list any additional comments you have regarding this course that have not been addressed above.
721,Please list how this faculty member helped to facilitate your learning.
721,Please list suggestions for other ways to help facilitate student learning in this course.
721,Please list suggestions on how this faculty member could help facilitate student learning.
721,Please list the aspects of this course that you believe helped to facilitate your learning.
721,The course director(s) and TJFFCOM staff respect diversity.
721,The course director(s) and TJFFCOM staff show respectful interactions with students.
721,The course director(s) provide direction and constructive feedback.
721,The course instructors emphasized the relevance of the course content as a foundation for future learning.
721,The course materials and assignments facilitated my learning.
721,The overall quality of this course is
721,The overall teaching effectiveness of this instructor is
721,The teaching enabled me to apply the course content to clinical scenarios.
721,"The teaching included the integration of basic and clinical sciences, using clinically relevant examples."
721,The workload balance (in-class and out-of-class) for this course was appropriate for the breadth and depth of the material covered.
721,There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by the course director(s) and TJFFCOM staff.
721,There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by this faculty member.
721,This faculty member provided direction and constructive feedback.
721,This faculty member respects diversity.
721,This faculty member showed respectful interactions with students.
721,This instructor’s availability for individual assistance is
721,This instructor’s demonstration of respect for all students is
721,What I learned was fairly assessed.
721,What I learned was reflective of the course objectives and materials taught.
722,Active learning sessions facilitated my learning.
722,Course director(s) was/were accessible to address student concerns during the course.
722,Course support staff (Office of Medical Education and course coordinators) were accessible to address student concerns during the course.
722,Opportunities for quality and timely formative feedback were provided.
722,Please list any additional comments you have regarding this course.
722,Please list suggestions for other ways to help facilitate student learning in this course.
722,Please list the aspects of this course that you believe helped to facilitate your learning.
722,The course instructors emphasized the relevance of the course content as a foundation for future learning.
722,The course materials and assignments facilitated my learning.
722,"The expectations for student performance were clearly defined (e.g., grading components, student behaviors, attendance)."
722,The objectives of this course were provided and clearly stated.
722,The overall quality of this course is
722,The teaching enabled me to apply the course content to clinical scenarios.
722,"The teaching included the integration of basic and clinical sciences, using clinically relevant examples. "
722,What I learned was fairly assessed. 
722,What I learned was reflected in the course objectives and materials taught. 
722,"Workload balance, (in-class and out-of-class for this course) was appropriate for the breadth and depth of the material covered."
723,Active learning sessions facilitated my learning.
723,Any other comments about this faculty member that have not been addressed elsewhere.
723,Course director(s) was/were accessible to address student concerns during the course.
723,Course support staff (Office of Medical Education and course coordinators) were accessible to address student concerns during the course.
723,I observed this faculty member mistreating others.
723,Opportunities for quality and timely formative feedback were provided.
723,Please list any additional comments you have regarding this course.
723,Please list how this faculty member helped to facilitate your learning.
723,Please list suggestions for other ways to help facilitate student learning in this course.
723,Please list suggestions on how this faculty member could help facilitate student learning.
723,Please list the aspects of this course that you believe helped to facilitate your learning.
723,The course instructors emphasized the relevance of the course content as a foundation for future learning.
723,The course materials and assignments facilitated my learning.
723,"The expectations for student performance were clearly defined (e.g., grading components, student behaviors, attendance)."
723,The objectives of this course were provided and clearly stated.
723,The overall quality of this course is
723,The overall teaching effectiveness of this instructor is
723,The teaching enabled me to apply the course content to clinical scenarios.
723,"The teaching included the integration of basic and clinical sciences, using clinically relevant examples. "
723,There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by this faculty member.
723,This faculty member provided direction and constructive feedback.
723,This faculty member respects diversity.
723,This faculty member showed respectful interactions with students.
723,This instructor’s availability for individual assistance is
723,This instructor’s demonstration of respect for all students is
723,What I learned was fairly assessed. 
723,What I learned was reflected in the course objectives and materials taught. 
723,"Workload balance, (in-class and out-of-class for this course) was appropriate for the breadth and depth of the material covered."
724,"Active learning sessions, as part of an interprofessional team, facilitated my learning."
724,Course director(s) was/were accessible to address student concerns during the course.
724,Course support staff (Office of Medical Education and course coordinators) were accessible to address student concerns during the course.
724,Opportunities for quality and timely formative feedback were provided.
724,Please list any additional comments you have regarding this course.
724,Please list suggestions for other ways to help facilitate student learning in this course.
724,Please list the aspects of this course that you believe helped to facilitate your learning.
724,The course materials and community-based experiential opportunities facilitated my learning.
724,"The expectations for student performance were clearly defined (e.g., grading components, student behaviors, attendance)."
724,The instruction enabled me to apply course content into household visits.
724,The interprofessional team leaders emphasized the relevance of the course content as a foundation for future learning.
724,The objectives of this course were provided and clearly stated.
724,The overall quality of this course is
724,What I learned was fairly assessed.
724,What I learned was reflected in the course objectives and materials taught.
724,"Workload balance, (in-class and out-of-class) for this course was appropriate for the breadth and depth of the material covered."
725, The instruction enabled me to apply course content into household visits.
725," Workload balance, (in-class and out-of-class) for this course was appropriate for the breadth and depth of the material covered."
725,"Active learning sessions, as part of an interprofessional team, facilitated my learning."
725,Any other comments about this faculty member that have not been addressed elsewhere.
725,Course director(s) was/were accessible to address student concerns during the course.
725,Course support staff (Office of Medical Education and course coordinators) were accessible to address student concerns during the course.
725,I observed this faculty member mistreating others.
725,Please list any additional comments you have regarding this course.
725,Please list how this faculty member helped to facilitate your learning.
725,Please list suggestions for other ways to help facilitate student learning in this course.
725,Please list suggestions on how this faculty member could help facilitate student learning.
725,Please list the aspects of this course that you believe helped to facilitate your learning.
725,The course materials and assignments facilitated my learning.
725,The course materials and community-based experiential opportunities facilitated my learning.
725,"The expectations for student performance were clearly defined (e.g., grading components, student behaviors, attendance)."
725,The interprofessional team leaders emphasized the relevance of the course content as a foundation for future learning.
725,The objectives of this course were provided and clearly stated.
725,The overall quality of this course is
725,The overall teaching effectiveness of this instructor is
725,There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by this faculty member.
725,This faculty member provided direction and constructive feedback.
725,This faculty member respects diversity.
725,This faculty member showed respectful interactions with students.
725,This instructor’s availability for individual assistance is
725,This instructor’s demonstration of respect for all students is
725,What I learned was fairly assessed. 
725,What I learned was reflected in the course objectives and materials taught. 
726,Course director(s) was/were accessible to address student concerns during the course.
726,Course support staff (Office of Medical Education and course coordinators) were accessible to address student concerns during the course.
726,Opportunities for quality and timely formative feedback were provided.
726,Please list any additional comments you have regarding this course.
726,Please list suggestions for other ways to help facilitate student learning in this course.
726,Please list the aspects of this course that you believe helped to facilitate your learning.
726,The course materials and community-based experiential opportunities facilitated my learning.
726,"The expectations for student performance were clearly defined (e.g., grading components, student behaviors, attendance)."
726,The instruction enabled me to apply course content into household visits.
726,The objectives of this course were provided and clearly stated.
726,The overall quality of this course is
726,What I learned was fairly assessed.
726,What I learned was reflected in the course objectives and materials taught.
726,"Workload balance, (in-class and out-of-class) for this course was appropriate for the breadth and depth of the material covered."
728,Are you aware that the University of Houston College of Medicine has policies regarding the mistreatment of medical students?
728,Do you know the procedures at the University of Houston College of Medicine for reporting the mistreatment of medical students?
728,Faculty provide direction and constructive feedback.
728,Faculty respect diversity.
728,Faculty show respectful interactions with students.
728,I participated in mid-course feedback with the LPC director during this course.
728,I was observed performing the relevant portions of the physical or mental status exam during this clerkship.
728,I was observed taking the relevant portions of the patient history during this clerkship.
728,I was provided an opportunity for continuity of patient care (encountering or caring for the same patient more than once) during this course.
728,Please list any additional comments you have regarding this course.
728,Please list suggestions for other ways to help facilitate student learning in this course.
728,Please list the aspects of this course that you believe helped to facilitate your learning.
728,Preceptors provide direction and constructive feedback.
728,Preceptors respect diversity.
728,Preceptors show respectful interactions with students.
728,The amount of formative feedback was sufficient in this course.
728,The clinical duty hours policy and procedures for reporting violations was provided and clearly outlined.
728,The course director was accessible and responsive to student problems encountered during this course.
728,The objectives of this course were provided and clearly stated.
728,The overall quality of this course is
728,The quality of formative feedback was sufficient in this course.
728,There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by faculty.
728,There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by preceptors.
730,Active learning sessions facilitated my learning.
730,Are you aware that the University of Houston College of Medicine has policies regarding the mistreatment of medical students?
730,Course director(s) was/were accessible to address student concerns during the course.
730,Course objectives were provided and clearly stated.
730,Course support staff (Office of Medical Education and course coordinators) were accessible to address student concerns during the course.
730,Do you know the procedures at the University of Houston College of Medicine for reporting the mistreatment of medical students?
730,"Expectations for student performance in the course were clearly defined (e.g., grading components, student behaviors, attendance)."
730,Opportunities for quality and timely formative feedback were provided.
730,Please list any additional comments you have regarding this course that have not been addressed above.
730,Please list suggestions for other ways to help facilitate student learning in this course.
730,Please list the aspects of this course that you believe helped to facilitate your learning.
730,The course director(s) and TJFFCOM staff respect diversity.
730,The course director(s) and TJFFCOM staff show respectful interactions with students.
730,The course director(s) provide direction and constructive feedback.
730,The course instructors emphasized the relevance of the course content as a foundation for future learning.
730,The course materials and assignments facilitated my learning.
730,The overall quality of this course is
730,The teaching enabled me to apply the course content to clinical scenarios.
730,"The teaching included the integration of basic and clinical sciences, using clinically relevant examples."
730,The workload balance (in-class and out-of-class) for this course was appropriate for the breadth and depth of the material covered.
730,There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by the course director(s) and TJFFCOM staff.
730,What I learned was fairly assessed.
730,What I learned was reflective of the course objectives and materials taught.
732,Active learning sessions facilitated my learning.
732,Any other comments about this faculty member that have not been addressed elsewhere.
732,Are you aware that the University of Houston College of Medicine has policies regarding the mistreatment of medical students?
732,Course director(s) was/were accessible to address student concerns during the course.
732,Course objectives were provided and clearly stated.
732,Course support staff (Office of Medical Education and course coordinators) were accessible to address student concerns during the course.
732,Do you know the procedures at the University of Houston College of Medicine for reporting the mistreatment of medical students?
732,"Expectations for student performance in the course were clearly defined (e.g., grading components, student behaviors, attendance)."
732,I observed this faculty member mistreating others.
732,Opportunities for quality and timely formative feedback were provided.
732,Please list any additional comments you have regarding this course that have not been addressed above.
732,Please list how this faculty member helped to facilitate your learning.
732,Please list suggestions for other ways to help facilitate student learning in this course.
732,Please list suggestions on how this faculty member could help facilitate student learning.
732,Please list the aspects of this course that you believe helped to facilitate your learning.
732,The course director(s) and TJFFCOM staff respect diversity.
732,The course director(s) and TJFFCOM staff show respectful interactions with students.
732,The course director(s) provide direction and constructive feedback.
732,The course instructors emphasized the relevance of the course content as a foundation for future learning.
732,The course materials and assignments facilitated my learning.
732,The overall quality of this course is
732,The overall teaching effectiveness of this instructor is
732,The teaching enabled me to apply the course content to clinical scenarios.
732,"The teaching included the integration of basic and clinical sciences, using clinically relevant examples."
732,The workload balance (in-class and out-of-class) for this course was appropriate for the breadth and depth of the material covered.
732,There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by the course director(s) and TJFFCOM staff.
732,There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by this faculty member.
732,This faculty member provided direction and constructive feedback.
732,This faculty member respects diversity.
732,This faculty member showed respectful interactions with students.
732,This instructor’s availability for individual assistance is
732,This instructor’s demonstration of respect for all students is
732,What I learned was fairly assessed.
732,What I learned was reflective of the course objectives and materials taught.
991,"Human Situation lectures helped me to connect choices, actions, and consequences to ethical decision-making."
991,Human Situation lectures helped me to develop and express my own understanding and interpretation of the assigned texts.
991,"Human Situation lectures helped me to develop my intercultural competence, knowledge of civic responsibility, and ability to engage effectively in regional, national, and global communities. "
991,Human Situation lectures helped me to think critically and rigorously about the assigned texts.
991,"Human Situation lectures were interesting, engaging, and worthwhile."
991,The overall quality of this course is
991,The overall teaching effectiveness of this instructor is
991,This instructor’s availability for individual assistance is
991,This instructor’s demonstration of respect for students is
991,What could be done to improve Human Situation lectures?
991,What were the most important benefits of Human Situation lectures?
992,How could the instructor improve the discussion section?
992,My oral communication skills improved because of this discussion class.
992,My understanding of the assigned books improved because of this discussion class.
992,My writing improved because of this discussion class.
992,"Overall, the discussion class sessions were worthwhile."
992,"The discussion class required at least 3,000 words (or 12 pages) of formal writing."
992,The instructor demonstrated and encouraged respect for a diversity of viewpoints.
992,The instructor demonstrated respect for students.
992,The instructor encouraged critical thinking and evaluation of ideas and evidence.
992,"The instructor encouraged student participation, questions, and discussion."
992,The instructor evaluated written work in a timely manner.
992,The instructor held class as scheduled and started promptly.
992,The instructor made course expectations clear at the beginning of the semester.
992,"The instructor provided helpful and adequate written feedback on assignments, including written comments on grammar, style, and content."
992,"The instructor provided helpful prompts, instructions, or guidance for writing essays."
992,The instructor was available for individual assistance.
992,The instructor was well prepared for class.
992,The overall quality of this course is
992,The overall teaching effectiveness of this instructor is
992,This instructor’s availability for individual assistance is
992,This instructor’s demonstration of respect for students is
992,What are the instructor’s strengths?
993,College of your major is:
993,Final Grade I expect to receive in this course is:
993,Gender:
993,"Human Situation lectures helped me to connect choices, actions, and consequences to ethical decision-making."
993,Human Situation lectures helped me to develop and express my own understanding and interpretation of the assigned texts.
993,"Human Situation lectures helped me to develop my intercultural competence, knowledge of civic responsibility, and ability to engage effectively in regional, national, and global communities. "
993,Human Situation lectures helped me to think critically and rigorously about the assigned texts.
993,"Human Situation lectures were interesting, engaging, and worthwhile."
993,My classification is:
993,My cumulative GPA is:
993,Number of classes missed:
993,The overall quality of this course is
993,The overall teaching effectiveness of this instructor is
993,This course was:
993,This instructor’s availability for individual assistance is
993,This instructor’s demonstration of respect for students is
993,What could be done to improve Human Situation lectures?
993,What were the most important benefits of Human Situation lectures?
994,College of your major is:
994,Final Grade I expect to receive in this course is:
994,Gender:
994,How could the instructor improve the discussion section?
994,My classification is:
994,My cumulative GPA is:
994,My oral communication skills improved because of this discussion class.
994,My understanding of the assigned books improved because of this discussion class.
994,My writing improved because of this discussion class.
994,Number of classes missed:
994,"Overall, the discussion class sessions were worthwhile."
994,"The discussion class required at least 3,000 words (or 12 pages) of formal writing."
994,The instructor demonstrated and encouraged respect for a diversity of viewpoints.
994,The instructor demonstrated respect for students.
994,The instructor encouraged critical thinking and evaluation of ideas and evidence.
994,"The instructor encouraged student participation, questions, and discussion."
994,The instructor evaluated written work in a timely manner.
994,The instructor held class as scheduled and started promptly.
994,The instructor made course expectations clear at the beginning of the semester.
994,"The instructor provided helpful and adequate written feedback on assignments, including written comments on grammar, style, and content."
994,"The instructor provided helpful prompts, instructions, or guidance for writing essays."
994,The instructor was available for individual assistance.
994,The instructor was well prepared for class.
994,The overall quality of this course is
994,The overall teaching effectiveness of this instructor is
994,This course was:
994,This instructor’s availability for individual assistance is
994,This instructor’s demonstration of respect for students is
994,What are the instructor’s strengths?
4647,Amount of work required was consistent with the credit hours earned.
4647,Course objectives were clearly outlined and explained.
4647,Examinations were a fair and accurate representation of material assigned.
4647,General comments about the instructor can be provided below:
4647,"Grading seems fair, accurate and consistent."
4647,Overall this was a value course
4647,"Overall, the instructor was an effective teacher."
4647,Please provide any other comments you would like regarding this course:
4647,Required readings/textbook were valuable.
4647,The instructor made the material relevant by discussing applications.
4647,The instructor presented the material in a well organized manner.
4647,The instructor presented understandable lectures.
4647,"The instructor was available (in class, in the office, via E-mail,etc.) for individual consultation."
4647,The instructor was concerned with the students’ ability to understand the material and encouraged
4647,Work assigned was a useful tool for learning the material covered.
